timestamp_ms	queue_length_bytes
1728434863637	0
1728434863689	0
1728434863740	0
1728434863792	0
1728434863844	0
1728434863896	0
1728434863947	0
1728434863999	0
1728434864051	0
1728434864102	0
1728434864154	0
1728434864206	74
1728434864257	0
1728434864309	5726
1728434864361	0
1728434864413	8432
1728434864464	13702
1728434864516	9486
1728434864568	3162
1728434864620	0
1728434864671	5270
1728434864723	0
1728434864775	2108
1728434864827	0
1728434864879	0
1728434864930	0
1728434864982	0
1728434865034	0
1728434865085	0
1728434865137	0
1728434865189	0
1728434865240	0
1728434865292	0
1728434865344	0
1728434865395	0
1728434865447	0
1728434865499	1054
1728434865551	0
1728434865603	2108
1728434865654	0
1728434865706	4216
1728434865758	0
1728434865810	8432
1728434865861	1054
1728434865913	8432
1728434865965	9486
1728434866017	11594
1728434866068	5270
1728434866120	3162
1728434866172	0
1728434866223	0
1728434866275	0
1728434866327	0
1728434866378	0
1728434866430	1054
1728434866481	0
1728434866533	2108
1728434866585	0
1728434866636	4216
1728434866688	0
1728434866740	8432
1728434866791	1054
1728434866843	7378
1728434866894	4216
1728434866946	8432
1728434866998	4216
1728434867049	4216
1728434867101	4216
1728434867153	5270
1728434867204	4216
1728434867256	6324
1728434867308	5270
1728434867360	5270
1728434867412	1054
1728434867463	4216
1728434867515	1054
1728434867567	1054
1728434867619	1054
1728434867670	1054
1728434867723	0
1728434867774	1054
1728434867826	0
1728434867878	2108
1728434867929	0
1728434867981	2108
1728434868032	0
1728434868084	2108
1728434868136	0
1728434868187	3162
1728434868239	0
1728434868291	2108
1728434868343	2108
1728434868394	3162
1728434868446	4216
1728434868498	5270
1728434868550	3162
1728434868601	3162
1728434868653	4216
1728434868705	4216
1728434868757	4216
1728434868809	6324
1728434868860	5270
1728434868912	6324
1728434868964	0
1728434869015	4216
1728434869067	0
1728434869120	2108
1728434869172	0
1728434869223	0
1728434869275	0
1728434869327	0
1728434869379	1054
1728434869431	0
1728434869483	2108
1728434869534	1054
1728434869586	2108
1728434869638	1096
1728434869690	2108
1728434869741	2108
1728434869793	2108
1728434869845	0
1728434869897	2108
1728434869949	1054
1728434870000	2108
1728434870052	3162
1728434870105	3162
1728434870157	4216
1728434870208	2108
1728434870260	4216
1728434870312	2108
1728434870364	2108
1728434870416	4216
1728434870467	6324
1728434870519	5270
1728434870571	5270
1728434870623	5270
1728434870675	5270
1728434870727	6324
1728434870778	0
1728434870830	2108
1728434870882	0
1728434870934	1054
1728434870985	0
1728434871037	0
1728434871089	1054
1728434871141	0
1728434871192	2108
1728434871244	0
1728434871296	2108
1728434871348	0
1728434871400	2108
1728434871452	1054
1728434871504	2108
1728434871556	1054
1728434871607	2108
1728434871659	0
1728434871711	2108
1728434871763	1054
1728434871814	6324
1728434871866	3162
1728434871918	2108
1728434871969	2108
1728434872021	2108
1728434872072	4216
1728434872124	2108
1728434872176	4216
1728434872228	4216
1728434872280	5270
1728434872332	4216
1728434872383	6324
1728434872435	5270
1728434872486	5270
1728434872538	4216
1728434872590	1054
1728434872642	2108
1728434872694	2108
1728434872746	1054
1728434872798	2108
1728434872849	1054
1728434872901	1054
1728434872953	2108
1728434873008	1054
1728434873060	0
1728434873111	1054
1728434873163	1054
1728434873215	1054
1728434873266	2108
1728434873318	1054
1728434873369	2108
1728434873421	1054
1728434873473	3162
1728434873524	0
1728434873577	2108
1728434873629	0
1728434873681	4216
1728434873732	2108
1728434873784	4216
1728434873836	4216
1728434873888	5270
1728434873940	4216
1728434873992	4216
1728434874044	5270
1728434874095	6324
1728434874147	4216
1728434874199	4216
1728434874251	4216
1728434874302	4216
1728434874354	4216
1728434874406	4216
1728434874458	2108
1728434874509	2108
1728434874561	3162
1728434874613	2108
1728434874665	2108
1728434874716	1054
1728434874768	2108
1728434874820	2108
1728434874872	1054
1728434874924	3162
1728434874975	1054
1728434875027	5270
1728434875079	1054
1728434875131	6324
1728434875183	1054
1728434875235	5270
1728434875286	0
1728434875338	4216
1728434875390	0
1728434875442	2108
1728434875494	0
1728434875546	3162
1728434875598	2108
1728434875650	6324
1728434875701	2108
1728434875753	2108
1728434875805	2108
1728434875856	2108
1728434875908	4216
1728434875960	4216
1728434876012	6324
1728434876063	5270
1728434876115	6324
1728434876167	1054
1728434876219	4216
1728434876271	2108
1728434876322	1054
1728434876374	1054
1728434876426	0
1728434876478	1054
1728434876530	0
1728434876582	2108
1728434876634	3162
1728434876685	2108
1728434876737	4216
1728434876789	1054
1728434876841	4216
