timestamp_ms	queue_length_bytes
1729055034289	0
1729055034340	0
1729055034392	0
1729055034443	0
1729055034495	0
1729055034547	0
1729055034599	0
1729055034650	0
1729055034702	0
1729055034754	0
1729055034805	0
1729055034857	0
1729055034909	0
1729055034960	0
1729055035012	0
1729055035064	0
1729055035116	0
1729055035167	0
1729055035219	0
1729055035271	0
1729055035322	0
1729055035374	0
1729055035426	0
1729055035478	0
1729055035529	0
1729055035581	0
1729055035632	0
1729055035684	0
1729055035736	0
1729055035787	0
1729055035839	0
1729055035891	0
1729055035942	0
1729055035994	0
1729055036046	0
1729055036097	0
1729055036149	0
1729055036201	0
1729055036253	0
1729055036304	0
1729055036356	0
1729055036407	0
1729055036459	0
1729055036511	0
1729055036562	0
1729055036614	0
1729055036666	0
1729055036718	0
1729055036769	0
1729055036821	0
1729055036873	0
1729055036925	0
1729055036976	0
1729055037028	0
1729055037079	0
1729055037131	0
1729055037183	0
1729055037234	0
1729055037286	0
1729055037337	0
1729055037389	0
1729055037440	0
1729055037492	0
1729055037543	0
1729055037595	0
1729055037646	0
1729055037698	0
1729055037750	0
1729055037801	0
1729055037853	0
1729055037905	0
1729055037956	0
1729055038008	0
1729055038059	0
1729055038111	0
1729055038163	0
1729055038214	0
1729055038266	0
1729055038318	0
1729055038370	0
1729055038422	0
1729055038473	0
1729055038525	0
1729055038577	0
1729055038628	0
1729055038680	0
1729055038732	0
1729055038783	0
1729055038835	0
1729055038887	0
1729055038939	5726
1729055038990	0
1729055039042	18972
1729055039094	0
1729055039145	20026
1729055039197	0
1729055039249	31620
1729055039301	34782
1729055039353	42160
1729055039405	113832
1729055039457	96968
1729055039508	160208
1729055039560	149668
1729055039612	149668
1729055039664	131750
1729055039716	99076
1729055039767	64294
1729055039819	31620
1729055039871	14756
1729055039923	14756
1729055039975	8432
1729055040026	0
1729055040078	0
1729055040130	62186
1729055040182	0
1729055040233	86428
1729055040285	87482
1729055040337	108562
1729055040389	124372
1729055040441	109616
1729055040492	118048
1729055040544	108562
1729055040596	106454
1729055040648	103292
1729055040700	102238
1729055040751	100130
1729055040803	100130
1729055040855	99076
1729055040907	51646
1729055040959	0
1729055041011	0
1729055041063	84320
1729055041114	18972
1729055041166	42160
1729055041218	33728
1729055041269	50592
1729055041322	79050
1729055041373	13702
1729055041425	120156
1729055041477	85374
1729055041529	24242
1729055041580	29512
1729055041632	24242
1729055041684	29512
1729055041736	25296
1729055041787	31620
1729055041839	25296
1729055041891	31620
1729055041943	27404
1729055041995	31620
1729055042046	29512
1729055042098	31620
1729055042150	29512
1729055042201	31620
1729055042253	31620
1729055042305	29512
1729055042356	33728
1729055042408	31620
1729055042460	32674
1729055042512	32674
1729055042564	33728
1729055042616	33728
1729055042669	33728
1729055042720	33728
1729055042772	0
1729055042824	36890
1729055042876	36890
1729055042928	0
1729055042980	38998
1729055043031	38998
1729055043083	37944
1729055043135	38998
1729055043186	41106
1729055043238	40052
1729055043290	40052
1729055043342	41106
1729055043394	43214
1729055043445	42160
1729055043497	43214
1729055043549	43214
1729055043601	42160
1729055043652	45322
1729055043704	45322
1729055043756	44268
1729055043807	45322
1729055043859	46376
1729055043910	47430
1729055043962	47430
1729055044014	46376
1729055044066	48484
1729055044118	49538
1729055044169	48484
1729055044221	48484
1729055044273	49538
1729055044324	50592
1729055044376	50592
1729055044428	51646
1729055044480	52700
1729055044531	53754
1729055044583	53754
1729055044634	52700
1729055044686	53754
1729055044738	52700
1729055044790	54808
1729055044841	55862
1729055044893	54808
1729055044944	54808
1729055044996	57970
1729055045048	56916
1729055045099	57970
1729055045151	57970
1729055045203	56916
1729055045255	59024
1729055045307	57970
1729055045358	56916
1729055045410	38998
1729055045462	15810
1729055045513	23188
1729055045565	15810
1729055045618	26350
1729055045669	15810
1729055045721	27404
1729055045773	14756
1729055045825	31620
1729055045876	14756
1729055045928	31620
1729055045980	14756
1729055046032	30566
1729055046084	14756
1729055046135	27404
1729055046187	14756
1729055046239	27404
1729055046291	14756
1729055046343	25296
1729055046394	14756
1729055046446	24242
1729055046498	16864
1729055046550	23188
1729055046602	14756
1729055046654	22134
1729055046705	18972
1729055046757	21080
1729055046809	21080
1729055046861	20026
1729055046912	23188
1729055046964	18972
1729055047016	27404
1729055047068	16864
1729055047119	27404
1729055047171	14756
1729055047223	31620
1729055047275	16864
1729055047327	31620
1729055047379	16864
1729055047431	31620
1729055047483	16864
1729055047534	29512
1729055047586	16864
1729055047638	31620
1729055047689	16864
1729055047741	29512
1729055047793	16864
1729055047844	31620
1729055047896	16864
1729055047948	31620
1729055048000	16864
1729055048052	33728
1729055048103	16864
1729055048155	31620
1729055048207	16864
1729055048259	32674
1729055048311	18972
1729055048363	31620
1729055048414	21080
1729055048466	32674
1729055048518	23188
1729055048570	31620
1729055048621	25296
1729055048673	32674
